time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-05-30 11:00:00+00:00,0.00015294828335754573,0.00015335442731156945,0.00015290184819605201,0.00015309550508391112,0.00015309550508391112,0,UNI-USD
2022-05-30 12:00:00+00:00,0.00015317312499973923,0.00015403430734295398,0.00015220018394757062,0.00015256510232575238,0.00015256510232575238,0,UNI-USD
2022-05-30 13:00:00+00:00,0.00015259587962646037,0.00015263684326782823,0.00015164623619057238,0.00015230996359605342,0.00015230996359605342,0,UNI-USD
2022-05-30 14:00:00+00:00,0.00015243400412146002,0.00015336716023739427,0.00015234194870572537,0.000152343709487468,0.000152343709487468,0,UNI-USD
2022-05-30 15:00:00+00:00,0.0001522932288935408,0.00015308927686419338,0.0001522932288935408,0.00015308927686419338,0.00015308927686419338,0,UNI-USD
2022-05-30 16:00:00+00:00,0.00015310346498154104,0.00015342258848249912,0.0001529176952317357,0.0001530128065496683,0.0001530128065496683,0,UNI-USD
2022-05-30 17:00:00+00:00,0.00015301635721698403,0.00015373382484540343,0.000152915992657654,0.00015349739987868816,0.00015349739987868816,0,UNI-USD
2022-05-30 18:00:00+00:00,0.0001534966577310115,0.0001535084447823465,0.00015324070409405977,0.00015338888624683022,0.00015338888624683022,0,UNI-USD
2022-05-30 19:00:00+00:00,0.00015334597264882177,0.0001538173673907295,0.00015311044990085065,0.00015328779409173876,0.00015328779409173876,0,UNI-USD
2022-05-30 20:00:00+00:00,0.00015323526167776436,0.00015620622434653342,0.00015295957564376295,0.00015609762340318412,0.00015609762340318412,1,UNI-USD
2022-05-30 21:00:00+00:00,0.00015634957526344806,0.0001595003850525245,0.00015610786795150489,0.00015868378977756947,0.00015868378977756947,1,UNI-USD
2022-05-30 22:00:00+00:00,0.00015891391376499087,0.0001589757448527962,0.00015782589616719633,0.00015846986207179725,0.00015846986207179725,0,UNI-USD
2022-05-30 23:00:00+00:00,0.00015867510228417814,0.0001591562177054584,0.00015830517804715782,0.00015851517673581839,0.00015851517673581839,0,UNI-USD
2022-05-31 00:00:00+00:00,0.00015864318993408233,0.0001589170133229345,0.00015758421795908362,0.00015785699361003935,0.00015785699361003935,0,UNI-USD
2022-05-31 01:00:00+00:00,0.00015787106531206518,0.00015787106531206518,0.00015740747039671987,0.00015775930660311133,0.00015775930660311133,0,UNI-USD
2022-05-31 02:00:00+00:00,0.00015777551743667573,0.00015845599409658462,0.0001576805952936411,0.00015845599409658462,0.00015845599409658462,0,UNI-USD
2022-05-31 03:00:00+00:00,0.00015846430324018002,0.00015888377674855292,0.00015817416715435684,0.00015874175005592406,0.00015874175005592406,1,UNI-USD
2022-05-31 04:00:00+00:00,0.00015871030336711556,0.0001588312879903242,0.00015835561498533934,0.00015845596499275416,0.00015845596499275416,0,UNI-USD
2022-05-31 05:00:00+00:00,0.00015841933782212436,0.000158474242198281,0.0001581530668772757,0.00015827699098736048,0.00015827699098736048,0,UNI-USD
2022-05-31 06:00:00+00:00,0.00015823582361917943,0.00015823582361917943,0.00015737894864287227,0.00015740144590381533,0.00015740144590381533,0,UNI-USD
2022-05-31 07:00:00+00:00,0.00015748401347082108,0.00015785718278493732,0.00015748401347082108,0.00015780601825099438,0.00015780601825099438,0,UNI-USD
2022-05-31 08:00:00+00:00,0.00015781067486386746,0.00015833406359888613,0.00015781067486386746,0.00015815500228200108,0.00015815500228200108,0,UNI-USD
2022-05-31 09:00:00+00:00,0.00015807646559551358,0.0001580936077516526,0.0001575587084516883,0.0001576158101670444,0.0001576158101670444,0,UNI-USD
2022-05-31 10:00:00+00:00,0.00015770088066346943,0.00015827328024897724,0.00015758212248329073,0.0001582188851898536,0.0001582188851898536,0,UNI-USD
2022-05-31 11:00:00+00:00,0.00015827137394808233,0.00015907414490357041,0.00015827137394808233,0.00015878329577390105,0.00015878329577390105,1,UNI-USD
2022-05-31 12:00:00+00:00,0.00015878926205914468,0.00015886116307228804,0.00015783892013132572,0.00015787921438459307,0.00015787921438459307,0,UNI-USD
2022-05-31 13:00:00+00:00,0.00015807400632184,0.00015905627515166998,0.00015678207273595035,0.00015706736303400248,0.00015706736303400248,0,UNI-USD
2022-05-31 14:00:00+00:00,0.0001569628220750019,0.0001583252742420882,0.00015643077495042235,0.00015821622218936682,0.00015821622218936682,0,UNI-USD
2022-05-31 15:00:00+00:00,0.00015830954362172633,0.00016047820099629462,0.00015792185149621218,0.00016047820099629462,0.00016047820099629462,1,UNI-USD
2022-05-31 16:00:00+00:00,0.00016020827752072364,0.000161249321536161,0.00015946741041261703,0.00016097284969873726,0.00016097284969873726,1,UNI-USD
2022-05-31 17:00:00+00:00,0.00016078053158707917,0.00016080174827948213,0.00015974022971931845,0.0001602616539457813,0.0001602616539457813,0,UNI-USD
2022-05-31 18:00:00+00:00,0.0001604271528776735,0.0001605416473466903,0.00015836053353268653,0.00015836053353268653,0.00015836053353268653,0,UNI-USD
2022-05-31 19:00:00+00:00,0.00015837838873267174,0.00015878572594374418,0.0001581310061737895,0.0001581310061737895,0.0001581310061737895,0,UNI-USD
2022-05-31 20:00:00+00:00,0.0001582668483024463,0.00015875007375143468,0.0001581663527758792,0.00015875007375143468,0.00015875007375143468,1,UNI-USD
2022-05-31 21:00:00+00:00,0.0001588826416991651,0.00015894688840489835,0.00015850494673941284,0.00015850494673941284,0.00015850494673941284,0,UNI-USD
2022-05-31 22:00:00+00:00,0.00015857657126616687,0.0001592950284248218,0.00015855178935453296,0.0001592950284248218,0.0001592950284248218,1,UNI-USD
2022-05-31 23:00:00+00:00,0.00015929655637592077,0.00015941156016197056,0.00015916430857032537,0.00015917552809696645,0.00015917552809696645,0,UNI-USD
2022-06-01 00:00:00+00:00,0.00015905054169707,0.00015975488349795341,0.00015870659262873232,0.00015975488349795341,0.00015975488349795341,0,UNI-USD
2022-06-01 01:00:00+00:00,0.00015967553190421313,0.00015967553190421313,0.00015925442858133465,0.00015949594671837986,0.00015949594671837986,0,UNI-USD
2022-06-01 02:00:00+00:00,0.00015952014655340463,0.00015953133697621524,0.0001588419108884409,0.0001590501778991893,0.0001590501778991893,0,UNI-USD
2022-06-01 03:00:00+00:00,0.0001590453612152487,0.0001590453612152487,0.00015820740372873843,0.00015820740372873843,0.00015820740372873843,0,UNI-USD
2022-06-01 04:00:00+00:00,0.0001582087716087699,0.000158412178279832,0.00015722343232482672,0.00015793531201779842,0.00015793531201779842,0,UNI-USD
2022-06-01 05:00:00+00:00,0.00015788788732606918,0.00015799238462932408,0.0001573479239596054,0.00015797055675648153,0.00015797055675648153,0,UNI-USD
2022-06-01 06:00:00+00:00,0.00015798903768882155,0.00015819912368897349,0.00015793030615895987,0.00015794829232618213,0.00015794829232618213,0,UNI-USD
2022-06-01 07:00:00+00:00,0.00015794763748999685,0.00015795460785739124,0.00015742321556899697,0.00015742321556899697,0.00015742321556899697,0,UNI-USD
2022-06-01 08:00:00+00:00,0.0001574847410665825,0.00015803783026058227,0.00015738086949568242,0.00015801678819116205,0.00015801678819116205,0,UNI-USD
2022-06-01 09:00:00+00:00,0.00015800941037014127,0.00015834557416383177,0.00015800571418367326,0.00015831862401682884,0.00015831862401682884,0,UNI-USD
2022-06-01 10:00:00+00:00,0.00015835880185477436,0.00015835880185477436,0.00015774861094541848,0.00015777871885802597,0.00015777871885802597,0,UNI-USD
2022-06-01 11:00:00+00:00,0.00015777007502038032,0.00015812892524991184,0.00015734502812847495,0.0001578317314852029,0.0001578317314852029,0,UNI-USD
2022-06-01 12:00:00+00:00,0.0001579139061504975,0.00015886455366853625,0.00015765667194500566,0.00015862016880419105,0.00015862016880419105,0,UNI-USD
2022-06-01 13:00:00+00:00,0.00015858522965572774,0.0001591638138052076,0.00015843493747524917,0.00015862945292610675,0.00015862945292610675,0,UNI-USD
2022-06-01 14:00:00+00:00,0.00015862636792007834,0.0001588050799909979,0.0001553720940137282,0.00015621645434293896,0.00015621645434293896,0,UNI-USD
2022-06-01 15:00:00+00:00,0.00015584734501317143,0.00015587823872920126,0.000153996457811445,0.0001540244702482596,0.0001540244702482596,0,UNI-USD
2022-06-01 16:00:00+00:00,0.00015372112102340907,0.00015372112102340907,0.00015188158431556076,0.00015214599261526018,0.00015214599261526018,0,UNI-USD
2022-06-01 17:00:00+00:00,0.00015208532568067312,0.00015208532568067312,0.00015014293603599072,0.00015079091826919466,0.00015079091826919466,0,UNI-USD
2022-06-01 18:00:00+00:00,0.00015089272346813232,0.00015190713747870177,0.0001508365385234356,0.00015114776033442467,0.00015114776033442467,0,UNI-USD
2022-06-01 19:00:00+00:00,0.0001508306886535138,0.00015132356202229857,0.00015057080599945039,0.00015084404731169343,0.00015084404731169343,0,UNI-USD
2022-06-01 20:00:00+00:00,0.0001507261476945132,0.0001507261476945132,0.0001475079479860142,0.0001482753868913278,0.0001482753868913278,0,UNI-USD
